sex,lives_with_partner,n_household,retired,age,age_partner,years_of_education,household_income,books_age_10,relative_math_ability_at_age_10,relative_language_ability_at_age_10
female,yes,2,no,69,67,13,27916,>25,better,better
male,no,1,yes,79,NA,14,17865,>25,same/worse,better
female,yes,2,yes,67,74,8,53233,>25,better,better
male,yes,2,yes,70,67,9,15213,>25,same/worse,same/worse
female,yes,2,yes,82,93,15,18061,>25,better,better
female,no,1,no,62,NA,19,49573,0-25,better,better
male,no,1,yes,73,NA,11,14555,>25,same/worse,better
male,no,1,yes,69,NA,13,18264,>25,same/worse,same/worse
female,yes,2,no,54,59,13,45903,>25,better,same/worse
male,yes,2,yes,81,71,18,29346,>25,better,better
female,yes,2,yes,74,73,11,20611,>25,same/worse,better
female,yes,2,yes,89,91,10,13675,0-25,same/worse,better
male,yes,2,yes,70,65,7,27460,0-25,same/worse,same/worse
male,yes,2,yes,66,63,16,35086,>25,better,same/worse
female,yes,2,yes,70,72,15,27930,>25,better,same/worse
female,yes,2,yes,81,75,10,47589,0-25,better,same/worse
male,yes,2,yes,73,66,10,57855,0-25,same/worse,same/worse
male,yes,2,no,64,59,10,23524,>25,better,same/worse
female,yes,2,no,61,68,16,21097,>25,same/worse,better
male,yes,2,no,58,55,8,26719,>25,same/worse,same/worse
female,yes,2,yes,69,70,17,56350,>25,same/worse,same/worse
male,no,1,yes,78,NA,6,2862,0-25,same/worse,better
male,yes,5,no,50,43,19,68672,>25,same/worse,same/worse
female,yes,2,yes,72,74,11,71567,>25,same/worse,same/worse
female,yes,2,no,55,60,14,38617,>25,better,better
male,yes,2,no,64,61,15,50846,>25,same/worse,better
female,yes,2,yes,73,88,10,42950,>25,better,better
male,yes,2,yes,71,67,13,35192,>25,better,better
female,yes,2,yes,72,72,19,34543,>25,better,better
female,no,1,yes,88,NA,9,3846,0-25,same/worse,same/worse
male,yes,2,no,61,57,13,49661,>25,better,better
female,no,1,yes,83,NA,8,7298,0-25,same/worse,better
female,yes,2,yes,69,77,16,33396,>25,better,better
male,yes,2,yes,77,69,12,21610,>25,same/worse,better
male,yes,2,yes,72,68,15,54831,>25,better,better
male,yes,2,yes,70,67,8,51424,0-25,better,same/worse
female,yes,2,yes,73,74,13,34244,>25,better,better
female,no,1,no,65,NA,18,7437,>25,same/worse,same/worse
male,yes,2,yes,74,73,1,36254,0-25,same/worse,same/worse
female,yes,2,yes,75,74,3,10928,0-25,better,better
male,yes,2,yes,86,74,12,17914,>25,same/worse,same/worse
female,yes,2,yes,87,77,9,40254,>25,same/worse,same/worse
male,yes,2,yes,73,70,11,19468,>25,same/worse,same/worse
female,no,1,yes,66,NA,7,12560,>25,same/worse,same/worse
male,no,1,yes,81,NA,12,17107,>25,better,same/worse
male,yes,2,yes,70,66,11,15343,>25,same/worse,better
male,yes,2,no,59,56,8,17392,>25,better,same/worse
female,no,1,yes,69,NA,11,16356,>25,better,better
female,yes,2,no,61,63,15,22300,>25,better,better
female,yes,2,no,56,60,9,107290,>25,same/worse,same/worse
female,yes,2,yes,77,73,6,44455,0-25,same/worse,same/worse
male,yes,2,yes,70,68,8,14600,>25,better,same/worse
female,yes,2,yes,80,82,10,38174,>25,better,better
female,no,1,yes,76,NA,9,2965,>25,same/worse,same/worse
male,yes,2,no,73,63,16,40666,>25,better,same/worse
female,yes,2,yes,65,73,11,23555,0-25,same/worse,same/worse
male,no,1,yes,70,NA,8,16052,>25,same/worse,same/worse
male,yes,2,yes,75,71,15,26520,>25,better,better
female,yes,2,yes,74,75,5,7096,0-25,better,same/worse
male,yes,2,yes,96,82,0,11591,0-25,same/worse,same/worse
female,yes,2,yes,67,68,17,49382,>25,same/worse,better
male,yes,3,yes,76,74,14,31398,0-25,better,better
male,yes,2,no,56,60,18,40517,>25,better,better
female,yes,2,no,60,74,17,30527,>25,better,better
male,yes,2,no,72,77,10,34571,>25,same/worse,same/worse
male,no,1,no,64,NA,13,9109,0-25,same/worse,same/worse
female,yes,2,yes,71,77,6,19505,0-25,better,better
male,yes,2,yes,68,70,16,31870,>25,same/worse,same/worse
female,yes,2,no,59,61,13,37925,>25,same/worse,better
male,yes,2,yes,98,83,18,28940,>25,better,same/worse
male,yes,2,yes,73,72,13,26660,0-25,better,same/worse
female,yes,2,yes,68,70,15,42693,>25,same/worse,same/worse
female,yes,2,yes,68,68,12,20135,0-25,same/worse,same/worse
female,no,1,yes,71,NA,14,30948,>25,same/worse,better
female,yes,2,no,54,58,18,43591,>25,better,better
female,no,1,yes,84,NA,5,11495,0-25,same/worse,same/worse
female,yes,2,yes,72,75,11,39161,>25,better,better
male,yes,2,yes,67,64,13,63404,>25,better,same/worse
female,yes,2,no,64,68,13,43777,0-25,better,better
male,yes,2,no,63,55,16,44632,>25,better,same/worse
male,yes,2,yes,69,65,10,32184,>25,same/worse,same/worse
female,yes,2,yes,65,68,14,32679,0-25,better,same/worse
female,yes,2,no,58,61,17,26899,0-25,same/worse,same/worse
male,yes,2,no,70,64,14,27842,>25,better,same/worse
female,yes,2,no,62,65,22,36852,>25,better,better
male,yes,2,no,58,64,9,25586,0-25,same/worse,same/worse
female,no,1,yes,70,NA,15,10781,>25,same/worse,same/worse
female,yes,2,yes,79,80,5,24785,0-25,same/worse,same/worse
male,no,1,yes,85,NA,10,18331,0-25,better,better
male,no,1,yes,72,NA,6,48615,>25,better,better
female,no,1,yes,75,NA,8,7802,>25,same/worse,same/worse
female,yes,2,yes,77,80,16,9380,>25,same/worse,same/worse
male,yes,2,yes,79,74,5,8030,0-25,same/worse,same/worse
male,yes,2,yes,67,64,15,15041,>25,same/worse,same/worse
female,yes,2,yes,75,83,10,23003,>25,same/worse,same/worse
male,yes,2,yes,72,69,14,22113,>25,better,same/worse
female,yes,2,yes,67,76,23,22702,>25,same/worse,same/worse
male,yes,2,yes,74,68,10,31508,0-25,same/worse,better
male,no,1,yes,73,NA,10,20367,>25,same/worse,better
male,yes,2,no,64,58,14,137557,>25,better,better
female,yes,2,no,70,67,17,90558,>25,better,better
female,yes,2,yes,74,71,9,27797,0-25,better,same/worse
female,no,1,yes,90,NA,6,34652,>25,same/worse,same/worse
female,no,1,no,59,NA,21,43556,>25,better,better
female,yes,2,no,56,59,13,29024,0-25,better,better
female,yes,2,no,58,66,9,63325,>25,better,same/worse
female,yes,2,yes,69,70,7,49310,0-25,better,better
female,yes,2,yes,69,74,10,28089,0-25,same/worse,same/worse
male,yes,2,no,65,59,10,23903,>25,same/worse,same/worse
female,yes,2,no,55,58,16,66952,>25,same/worse,better
female,no,1,yes,72,NA,8,17326,>25,same/worse,better
female,yes,2,yes,90,96,12,27443,>25,better,better
male,yes,2,yes,85,79,11,23184,>25,better,better
female,no,1,yes,85,NA,9,25442,0-25,same/worse,same/worse
female,no,1,yes,75,NA,10,24962,>25,better,better
female,yes,2,yes,70,73,11,26221,0-25,better,better
female,yes,2,yes,69,70,10,23091,0-25,same/worse,same/worse
female,yes,2,no,55,61,10,28220,0-25,same/worse,better
male,yes,2,no,55,53,5,37871,>25,same/worse,same/worse
female,yes,2,no,55,58,17,31913,>25,better,better
male,yes,2,no,59,59,17,49286,>25,better,better
male,yes,4,no,50,46,14,68448,>25,same/worse,same/worse
male,no,1,yes,72,NA,11,14883,0-25,same/worse,same/worse
female,no,1,yes,70,NA,7,45327,>25,same/worse,same/worse
female,no,1,yes,71,NA,15,11054,>25,better,same/worse
male,yes,2,yes,68,66,15,53113,0-25,better,same/worse
male,yes,4,no,52,52,19,60483,>25,better,better
female,yes,4,no,53,59,16,64766,>25,better,better
female,no,1,no,61,NA,9,16758,>25,better,same/worse
male,yes,2,no,56,58,10,20094,0-25,same/worse,same/worse
female,yes,2,no,57,62,11,51689,0-25,better,better
female,yes,2,yes,79,82,3,24176,0-25,same/worse,same/worse
female,no,1,yes,72,NA,13,33330,0-25,better,better
male,yes,2,no,65,60,9,22345,0-25,same/worse,same/worse
female,yes,2,yes,74,72,7,29145,0-25,better,same/worse
male,yes,2,yes,70,67,15,13174,0-25,same/worse,same/worse
male,yes,2,yes,73,72,15,42030,>25,better,same/worse
male,no,1,yes,72,NA,8,1440,0-25,same/worse,same/worse
male,yes,3,yes,80,75,15,32754,0-25,same/worse,better
female,yes,2,yes,69,76,16,24778,>25,better,better
male,yes,2,yes,71,67,11,28506,0-25,better,better
male,yes,2,yes,70,70,12,36983,>25,better,better
female,yes,2,yes,71,76,13,41581,0-25,better,better
male,no,1,yes,70,NA,9,15779,>25,better,same/worse
female,no,1,yes,85,NA,13,5279,0-25,better,better
male,yes,2,yes,71,70,11,16537,>25,same/worse,better
female,yes,2,yes,78,73,5,28598,0-25,same/worse,same/worse
male,yes,2,yes,75,71,5,31726,0-25,same/worse,same/worse
female,yes,2,yes,65,67,14,12088,>25,same/worse,same/worse
male,no,1,no,62,NA,17,33965,>25,better,better
female,yes,2,no,69,69,11,59249,0-25,same/worse,better
female,yes,2,yes,70,76,9,13986,0-25,better,better
male,yes,2,yes,77,69,7,24699,>25,same/worse,same/worse
female,no,1,yes,72,NA,9,5176,>25,better,better
male,no,1,yes,73,NA,19,18131,>25,better,better
female,no,1,yes,69,NA,9,8690,>25,same/worse,same/worse
male,yes,2,yes,81,74,10,21850,0-25,same/worse,same/worse
female,yes,2,yes,73,74,12,12862,>25,same/worse,better
male,yes,2,yes,72,66,14,40715,0-25,better,better
male,yes,2,yes,74,68,15,44511,0-25,better,same/worse
female,no,1,yes,73,NA,17,2492,0-25,same/worse,better
male,yes,2,yes,71,65,12,54347,>25,better,better
male,yes,3,no,60,62,16,60664,>25,better,same/worse
male,yes,2,no,63,61,11,22311,0-25,better,same/worse
female,yes,2,yes,73,72,9,22183,0-25,same/worse,better
male,no,1,yes,90,NA,10,32014,0-25,same/worse,same/worse
female,yes,2,yes,71,73,13,32079,>25,same/worse,same/worse
male,yes,2,yes,72,66,8,29747,>25,better,better
female,yes,2,yes,82,75,15,34836,0-25,better,same/worse
male,no,1,yes,78,NA,13,2063,>25,better,same/worse
male,no,1,yes,70,NA,14,15475,>25,same/worse,better
male,yes,2,yes,67,69,7,65237,0-25,same/worse,same/worse
female,yes,2,yes,98,85,14,59421,0-25,better,better
female,no,1,yes,78,NA,7,14765,>25,better,better
female,yes,2,yes,71,72,9,31676,0-25,better,better
male,yes,2,yes,64,65,11,52002,>25,better,better
female,no,1,yes,70,NA,17,19048,>25,better,better
male,yes,2,no,58,56,15,26169,>25,same/worse,same/worse
female,yes,2,no,64,62,11,19812,>25,same/worse,same/worse
male,yes,2,yes,70,66,21,29765,>25,better,better
male,yes,2,yes,73,69,10,11890,>25,better,same/worse
female,yes,2,yes,76,76,9,12349,>25,same/worse,same/worse
female,no,1,yes,68,NA,16,13093,>25,better,same/worse
male,yes,2,yes,70,65,13,74034,>25,better,same/worse
female,yes,2,yes,74,73,20,42838,>25,better,better
male,no,1,yes,79,NA,10,13035,0-25,same/worse,same/worse
female,no,1,yes,75,NA,11,8153,>25,same/worse,same/worse
female,no,1,yes,70,NA,7,17555,0-25,same/worse,same/worse
male,yes,2,yes,72,67,14,51708,>25,same/worse,better
male,yes,2,yes,74,74,8,26573,0-25,better,better
female,yes,2,no,61,60,11,35231,>25,same/worse,same/worse
male,no,1,yes,82,NA,18,11528,>25,better,same/worse
female,no,1,no,64,NA,14,18453,>25,same/worse,better
male,yes,3,no,63,60,13,50025,>25,better,better
female,yes,3,no,60,63,9,61422,0-25,same/worse,better
male,yes,2,no,55,56,10,67982,0-25,better,same/worse
female,yes,2,no,71,68,13,33573,>25,same/worse,better
male,no,1,yes,75,NA,8,15623,0-25,same/worse,better
male,yes,2,yes,72,85,15,37236,>25,better,better
female,yes,2,yes,66,75,18,58422,>25,better,better
female,no,1,yes,83,NA,8,3529,0-25,same/worse,better
female,no,1,yes,75,NA,6,29201,0-25,same/worse,same/worse
female,no,1,yes,73,NA,7,8659,0-25,same/worse,same/worse
female,yes,2,yes,68,68,4,19547,0-25,same/worse,same/worse
male,yes,2,yes,69,67,13,29796,0-25,better,better
male,yes,3,yes,65,61,16,37262,0-25,better,same/worse
female,no,1,yes,72,NA,12,22054,0-25,same/worse,same/worse
male,yes,2,yes,75,69,9,24204,0-25,same/worse,same/worse
female,yes,2,yes,65,73,15,66074,0-25,same/worse,same/worse
female,yes,2,yes,68,69,10,71879,>25,same/worse,same/worse
male,yes,2,yes,71,65,5,67420,>25,same/worse,same/worse
male,yes,2,yes,77,75,13,21147,>25,better,better
male,no,1,yes,76,NA,5,10385,0-25,better,same/worse
male,yes,2,yes,69,68,13,20303,0-25,same/worse,same/worse
female,yes,2,no,64,62,10,26192,>25,better,same/worse
female,no,1,no,59,NA,12,15913,0-25,better,same/worse
female,yes,2,yes,64,69,13,15781,>25,same/worse,same/worse
male,yes,2,yes,68,68,10,22166,>25,better,same/worse
female,yes,2,no,54,61,19,33895,>25,better,better
male,yes,2,yes,67,65,8,15394,>25,same/worse,same/worse
female,yes,2,yes,74,77,7,49452,>25,better,same/worse
male,yes,2,yes,73,67,4,23181,0-25,same/worse,same/worse
female,yes,2,yes,78,84,8,22891,0-25,better,better
male,yes,3,yes,86,74,13,37336,>25,same/worse,same/worse
female,yes,3,no,56,60,12,43671,>25,same/worse,same/worse
female,yes,2,yes,76,76,10,16908,0-25,better,better
male,yes,2,yes,72,69,9,13426,>25,same/worse,same/worse
female,yes,2,yes,67,70,10,19901,>25,better,better
male,yes,2,yes,75,81,13,18116,>25,better,better
female,no,1,no,63,NA,12,52007,0-25,same/worse,better
male,no,1,yes,76,NA,6,46563,0-25,better,same/worse
male,yes,2,no,64,60,10,38050,0-25,same/worse,same/worse
female,yes,2,no,61,62,13,28776,>25,same/worse,same/worse
female,no,1,no,70,NA,8,21773,0-25,same/worse,same/worse
female,yes,2,yes,71,72,17,19479,0-25,same/worse,better
male,yes,2,yes,74,75,13,25975,0-25,same/worse,better
female,yes,3,no,60,61,10,33036,0-25,better,better
male,yes,2,yes,74,68,9,22770,>25,same/worse,same/worse
female,yes,2,yes,69,80,3,29520,0-25,same/worse,same/worse
female,no,1,no,57,NA,19,34001,>25,better,better
female,yes,2,no,55,68,15,29211,>25,better,same/worse
male,yes,2,no,76,72,13,39187,>25,same/worse,better
female,yes,2,yes,67,71,22,29310,>25,better,better
male,yes,2,yes,88,75,4,44763,>25,same/worse,same/worse
female,yes,2,yes,67,67,13,13363,0-25,same/worse,same/worse
female,yes,2,yes,75,74,15,24515,0-25,better,better
female,yes,2,no,63,61,8,16115,0-25,same/worse,same/worse
female,no,1,yes,71,NA,12,3246,>25,same/worse,same/worse
male,no,1,no,68,NA,10,20179,0-25,same/worse,same/worse
female,yes,2,yes,66,67,12,18171,0-25,same/worse,better
male,yes,2,yes,67,64,11,44627,0-25,same/worse,same/worse
female,yes,2,no,56,74,17,46261,>25,better,better
male,no,1,yes,79,NA,0,8655,0-25,same/worse,same/worse
female,no,2,no,53,NA,9,88984,>25,same/worse,same/worse
female,yes,2,no,62,66,18,29011,>25,same/worse,better
male,yes,2,no,58,54,4,15240,0-25,same/worse,same/worse
male,yes,2,yes,87,77,18,47792,>25,better,better
male,yes,2,yes,72,68,6,24401,0-25,same/worse,same/worse
female,yes,2,yes,75,71,11,12142,>25,same/worse,same/worse
male,yes,2,yes,67,65,9,24839,>25,same/worse,better
female,yes,2,yes,66,72,13,32267,>25,same/worse,better
male,yes,2,yes,65,61,14,27423,>25,better,same/worse
female,yes,2,yes,66,68,17,37112,>25,same/worse,better
female,no,1,yes,73,NA,18,20031,>25,same/worse,same/worse
male,yes,2,no,56,55,15,46653,>25,better,better
female,yes,2,yes,86,79,9,31968,>25,same/worse,same/worse
male,yes,2,yes,73,68,9,36133,0-25,same/worse,better
female,no,1,yes,71,NA,5,4499,0-25,same/worse,same/worse
male,yes,2,yes,80,70,14,54150,>25,same/worse,same/worse
female,yes,2,yes,70,75,13,22423,0-25,same/worse,same/worse
female,no,1,yes,75,NA,14,8730,0-25,better,better
female,yes,2,yes,74,77,8,97036,0-25,better,same/worse
female,no,1,yes,72,NA,12,33512,>25,better,better
female,yes,2,no,63,63,8,45298,>25,better,better
male,yes,2,yes,75,70,17,23790,>25,better,same/worse
female,yes,2,no,55,60,6,68087,0-25,same/worse,same/worse
male,yes,2,no,82,73,17,38583,>25,better,better
female,no,1,yes,80,NA,8,6078,0-25,same/worse,better
female,no,1,yes,71,NA,10,26668,0-25,same/worse,better
female,yes,2,yes,83,79,17,39607,>25,better,better
male,yes,2,yes,68,65,9,51945,0-25,same/worse,better
female,yes,2,yes,68,76,11,23357,>25,better,same/worse
male,yes,2,yes,71,78,19,33736,>25,better,better
female,no,1,no,73,NA,13,48965,>25,better,better
female,yes,2,yes,86,78,14,27235,>25,same/worse,better
male,yes,2,yes,69,66,20,62716,0-25,better,same/worse
male,yes,2,no,70,67,9,14637,0-25,same/worse,better
female,yes,2,no,67,66,12,16119,0-25,better,better
female,no,1,yes,73,NA,9,17653,>25,better,better
female,no,1,yes,72,NA,10,26029,0-25,better,same/worse
female,no,1,yes,73,NA,10,4702,>25,same/worse,better
female,no,1,yes,83,NA,8,9869,0-25,better,better
female,no,1,yes,69,NA,9,51167,0-25,same/worse,same/worse
female,yes,2,yes,68,69,10,19582,0-25,better,better
male,no,1,yes,77,NA,6,53148,>25,better,same/worse
female,yes,2,yes,68,70,16,27590,>25,better,better
male,yes,2,yes,70,67,10,32471,>25,same/worse,better
female,no,1,yes,80,NA,11,4906,0-25,same/worse,same/worse
male,no,1,no,61,NA,22,24788,>25,better,same/worse
male,no,1,yes,79,NA,6,386,0-25,better,same/worse
male,yes,2,yes,69,67,6,7885,0-25,same/worse,same/worse
female,yes,2,yes,89,82,11,39196,>25,better,same/worse
female,yes,2,yes,74,72,19,37259,>25,better,same/worse
male,yes,2,yes,71,65,14,11552,>25,better,same/worse
female,no,1,yes,69,NA,12,43951,>25,same/worse,better
female,yes,4,no,55,56,14,65078,>25,better,same/worse
male,yes,4,no,59,55,7,74446,>25,same/worse,same/worse
female,yes,2,yes,70,72,10,31209,>25,same/worse,better
male,yes,2,yes,70,65,9,22756,>25,same/worse,same/worse
male,no,1,yes,81,NA,10,21572,0-25,better,same/worse
female,no,1,yes,74,NA,2,12738,0-25,same/worse,same/worse
female,yes,2,yes,77,76,9,10984,0-25,better,better
male,yes,2,yes,71,70,7,43918,>25,better,better
male,yes,2,no,55,53,13,24802,>25,same/worse,same/worse
female,yes,2,yes,66,69,15,34792,>25,same/worse,better
female,yes,2,yes,66,70,9,25874,>25,same/worse,same/worse
male,yes,2,yes,70,70,12,24178,>25,better,same/worse
male,yes,2,yes,71,77,17,22459,0-25,better,better
female,yes,2,yes,72,73,15,19847,0-25,same/worse,same/worse
female,yes,2,no,56,66,11,72633,>25,same/worse,same/worse
female,yes,2,yes,73,74,11,40677,>25,same/worse,same/worse
male,yes,2,no,62,56,11,38471,>25,same/worse,same/worse
male,yes,2,no,60,56,17,33558,>25,better,better
female,no,1,yes,67,NA,9,15097,>25,better,same/worse
female,yes,2,no,56,62,15,18183,>25,same/worse,same/worse
female,yes,2,yes,68,71,11,15876,0-25,same/worse,same/worse
male,yes,2,yes,72,73,16,68941,>25,same/worse,same/worse
male,yes,2,no,57,55,25,34591,>25,same/worse,better
male,yes,2,yes,78,68,17,22718,>25,better,better
female,yes,2,yes,75,77,9,20760,0-25,same/worse,same/worse
male,yes,2,yes,79,73,5,28214,>25,same/worse,same/worse
male,yes,2,no,66,62,8,26524,0-25,same/worse,same/worse
female,yes,2,yes,64,65,11,26436,0-25,same/worse,same/worse
female,yes,2,yes,71,71,14,35266,0-25,same/worse,same/worse
male,yes,2,yes,74,78,6,22561,>25,better,better
male,yes,2,yes,73,71,8,14673,>25,better,better
female,yes,2,yes,70,79,14,11439,>25,same/worse,better
male,yes,2,yes,66,64,12,56910,>25,same/worse,same/worse
female,yes,2,yes,87,78,7,39126,>25,better,better
female,no,1,yes,73,NA,9,1246,0-25,same/worse,same/worse
female,no,1,yes,85,NA,12,22093,>25,better,better
female,no,2,no,64,NA,9,29586,0-25,same/worse,better
male,yes,2,yes,78,72,13,22185,>25,same/worse,better
female,yes,2,yes,73,74,15,29655,>25,better,same/worse
male,yes,2,yes,71,76,10,8881,0-25,better,same/worse
female,yes,2,yes,77,79,12,33348,0-25,same/worse,same/worse
female,yes,2,yes,72,70,5,34478,>25,better,same/worse
male,yes,2,yes,69,66,12,52011,>25,better,better
male,yes,3,no,55,52,12,37444,>25,better,same/worse
male,yes,6,no,51,50,14,96808,>25,better,better
female,yes,2,no,64,62,12,74363,>25,better,same/worse
female,yes,2,no,61,60,15,54944,0-25,better,same/worse
female,no,1,no,62,NA,7,5900,0-25,same/worse,same/worse
female,yes,2,yes,93,84,8,31789,0-25,same/worse,better
male,yes,2,no,59,56,11,21196,0-25,same/worse,same/worse
female,yes,2,no,80,70,21,27409,>25,same/worse,better
male,yes,2,yes,78,74,10,16540,0-25,better,same/worse
female,yes,2,yes,71,69,14,12334,0-25,same/worse,same/worse
male,yes,2,yes,70,65,15,12526,0-25,same/worse,same/worse
female,no,1,yes,73,NA,15,966,0-25,same/worse,same/worse
male,yes,2,yes,81,70,15,34861,>25,same/worse,same/worse
female,yes,2,yes,82,77,15,57714,0-25,better,better
female,yes,2,no,76,71,20,32787,>25,better,better
male,yes,2,yes,68,65,16,23134,>25,better,same/worse
female,no,1,yes,73,NA,17,15214,>25,same/worse,better
female,yes,2,yes,84,77,18,29083,>25,better,better
male,yes,2,yes,71,68,10,38513,0-25,better,better
female,no,1,no,60,NA,9,10794,>25,same/worse,same/worse
female,yes,2,yes,75,74,11,27396,>25,better,better
male,yes,2,yes,70,65,13,27246,>25,better,same/worse
female,yes,2,yes,67,69,17,41426,>25,better,same/worse
female,yes,2,no,67,66,6,75733,0-25,same/worse,same/worse
male,yes,2,yes,74,68,9,33098,0-25,better,better
male,yes,3,no,69,62,8,82199,0-25,same/worse,same/worse
male,no,1,yes,77,NA,9,5607,0-25,same/worse,same/worse
male,yes,2,yes,75,68,12,33055,0-25,same/worse,same/worse
female,yes,2,yes,69,78,9,53470,0-25,same/worse,better
male,yes,3,no,60,55,10,35504,0-25,same/worse,same/worse
male,yes,2,yes,77,73,6,74684,0-25,better,better
female,yes,2,yes,74,73,8,40181,0-25,better,better
male,yes,2,yes,74,73,11,28320,0-25,better,same/worse
female,yes,2,yes,68,76,15,41843,>25,better,better
female,no,1,yes,72,NA,7,10428,0-25,same/worse,better
male,no,1,no,63,NA,11,14716,>25,better,same/worse
female,no,1,yes,71,NA,18,3544,>25,better,better
female,yes,2,yes,69,71,13,26757,>25,same/worse,better
male,yes,2,yes,92,76,9,37249,>25,same/worse,same/worse
male,no,1,yes,76,NA,7,24249,0-25,better,better
female,yes,2,no,69,66,13,30783,>25,better,better
male,yes,2,no,57,57,13,45223,>25,same/worse,same/worse
female,yes,2,yes,74,72,10,15805,0-25,better,better
male,yes,2,yes,67,69,17,35104,>25,better,better
female,no,1,no,62,NA,14,3573,>25,same/worse,same/worse
male,no,1,yes,71,NA,12,24796,>25,better,same/worse
male,yes,2,no,63,57,13,26645,>25,better,same/worse
female,yes,2,no,68,63,8,29325,0-25,same/worse,same/worse
female,yes,2,yes,74,73,12,24963,>25,better,better
male,yes,2,yes,72,74,13,30146,>25,better,better
female,yes,2,yes,70,78,11,13380,>25,same/worse,same/worse
female,yes,2,no,59,66,22,20160,>25,better,better
male,yes,2,no,57,61,12,45005,>25,better,better
male,no,1,no,62,NA,11,3806,>25,same/worse,same/worse
male,no,1,yes,82,NA,15,17997,>25,better,better
female,yes,2,yes,89,80,14,18966,0-25,better,better
male,yes,2,yes,68,65,8,37509,>25,better,better
female,yes,2,yes,65,75,15,30685,>25,same/worse,better
male,yes,2,yes,66,64,8,75327,0-25,same/worse,same/worse
female,yes,2,yes,68,73,16,24407,>25,better,better
male,yes,2,yes,84,81,5,14537,0-25,better,same/worse
female,no,1,yes,84,NA,8,1294,0-25,same/worse,same/worse
male,yes,2,no,60,61,12,22859,0-25,same/worse,same/worse
female,yes,2,no,54,62,17,30844,>25,better,same/worse
male,yes,2,no,63,57,9,37517,0-25,better,same/worse
female,no,1,yes,70,NA,20,26022,>25,better,better
female,no,1,yes,80,NA,14,38477,>25,same/worse,same/worse
female,no,1,yes,74,NA,11,1432,0-25,same/worse,same/worse
female,yes,3,no,54,60,20,42632,>25,better,better
male,yes,3,yes,75,68,15,51588,>25,better,better
male,yes,2,yes,72,67,15,24704,>25,same/worse,better
female,yes,2,yes,94,83,16,20487,>25,same/worse,same/worse
female,yes,2,yes,68,71,15,19209,0-25,better,same/worse
female,yes,2,yes,72,78,9,17582,0-25,same/worse,same/worse
male,yes,2,yes,78,71,6,16900,0-25,same/worse,same/worse
male,yes,2,yes,66,68,12,32083,>25,better,better
male,no,3,no,57,NA,15,49698,>25,better,better
female,yes,2,yes,76,72,13,15675,0-25,same/worse,better
male,yes,2,yes,70,67,14,62686,>25,better,same/worse
male,no,1,yes,73,NA,12,30101,>25,same/worse,same/worse
female,yes,2,yes,68,68,12,22255,0-25,better,same/worse
male,yes,2,yes,73,67,12,31594,>25,better,same/worse
female,no,1,yes,71,NA,4,9021,0-25,same/worse,same/worse
male,yes,4,no,52,51,4,46189,0-25,better,same/worse
female,yes,4,no,60,56,15,68553,>25,same/worse,better
female,yes,2,yes,66,68,10,28074,>25,same/worse,same/worse
female,yes,3,no,59,62,13,45164,0-25,better,better
male,yes,3,no,52,56,17,70459,>25,better,better
male,yes,2,yes,75,69,4,6299,0-25,same/worse,same/worse
female,no,1,yes,68,NA,12,16000,>25,same/worse,same/worse
female,yes,2,yes,71,81,14,58002,>25,same/worse,same/worse
female,yes,2,no,58,64,10,40989,>25,same/worse,same/worse
male,yes,2,yes,79,70,10,65417,>25,better,same/worse
female,no,1,yes,80,NA,7,7050,0-25,same/worse,better
male,yes,2,yes,81,72,13,21918,0-25,same/worse,same/worse
female,yes,2,yes,69,73,10,25237,0-25,same/worse,same/worse
female,no,1,yes,71,NA,13,23367,>25,same/worse,same/worse
male,yes,2,yes,72,66,7,22367,0-25,better,same/worse
female,no,1,yes,69,NA,11,29565,>25,better,better
male,yes,2,no,59,55,14,30743,>25,better,same/worse
male,no,1,yes,78,NA,11,1712,>25,better,same/worse
male,no,1,yes,78,NA,6,867,0-25,same/worse,same/worse
female,no,1,yes,82,NA,13,26189,>25,better,better
male,no,1,no,61,NA,6,37312,0-25,better,same/worse
male,yes,2,yes,88,76,11,25246,>25,better,better
female,yes,2,yes,84,76,14,29694,>25,same/worse,better
male,yes,2,yes,71,66,13,36012,0-25,better,better
female,yes,2,no,56,59,18,65763,>25,same/worse,better
female,no,1,yes,82,NA,8,2282,0-25,same/worse,better
female,no,1,yes,73,NA,11,6713,0-25,better,better
female,no,1,yes,76,NA,16,4099,>25,better,better
female,yes,2,no,65,79,14,35512,>25,better,same/worse
male,yes,2,yes,82,70,11,37733,>25,same/worse,better
male,yes,2,yes,75,68,13,46935,>25,better,same/worse
male,yes,2,no,66,58,9,49302,>25,same/worse,same/worse
female,no,1,yes,74,NA,14,17806,>25,better,better
female,yes,2,no,64,63,14,32107,>25,better,better
male,yes,2,yes,69,66,20,29455,>25,better,better
male,yes,2,yes,83,71,10,38835,>25,same/worse,better
female,no,2,yes,76,NA,11,10005,>25,better,better
female,no,1,yes,71,NA,11,7961,0-25,same/worse,better
male,no,1,yes,78,NA,5,3605,0-25,same/worse,same/worse
female,no,1,no,59,NA,12,11093,0-25,same/worse,better
female,no,1,yes,73,NA,10,4028,>25,same/worse,better
female,no,1,yes,74,NA,6,1451,0-25,same/worse,same/worse
female,yes,5,no,50,54,17,75310,>25,better,better
male,yes,2,yes,69,74,4,31177,>25,better,better
female,yes,2,yes,71,72,8,17152,0-25,better,better
